"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","17","Test_Cases","test_object","TestObject","","","Создание корневого объекта, добавление в него объекта по модели Directory, проверка и удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"broken","Wed Aug 02 14:04:23 GMT 2023","Wed Aug 02 14:04:23 GMT 2023","0","Test_Cases","test_model","TestModel","","","Создание простой модели, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","19","Test_Cases","test_object","TestObject","","","Создание модели, содержащей подмодели. Создание корневого объекта по модели Directory. Добавление в него объекта по созданной модели. Проверка и удаление объекта. Удаление модели.","Проверка работоспособности раздела 'Объекты'"
"failed","Wed Aug 02 14:04:16 GMT 2023","Wed Aug 02 14:04:17 GMT 2023","575","Test_Cases","test_homepage","TestHomepage","","","test_homepage","Проверка работоспособности главной страницы"
"broken","Wed Aug 02 14:04:23 GMT 2023","Wed Aug 02 14:04:38 GMT 2023","15426","Test_Cases","test_model","TestModel","","","Создание простой модели, добавление в нее компонентов, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","0","Test_Cases","test_object","TestObject","","","Создание и удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","12","Test_Cases","test_object","TestObject","","","Создание модели, содержаей подмодели. Создание корневого объекта по модели Directory. Добавление в него объекта по созданой модели. Проверка объекта. Удаление модели с удалением объекта. Проверка факта удаления объекта. Удаление корневого объекта.","Проверка работоспособности раздела 'Объекты'"
"broken","Wed Aug 02 14:05:09 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","15418","Test_Cases","test_model","TestModel","","","Создание сложной моедели с двумя дочерними моделями с одинаковыми именами, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","13","Test_Cases","test_object","TestObject","","","Создание модели, содержащей подмодели. Создание корневого объекта по модели Directory. Добавление в него объекта по созданной модели. Проверка объекта. Удаление модели с отвязкой объекта. Проверка факта сохранения объекта и изменения типа модели на Directory. Удаление корневого объекта.","Проверка работоспособности раздела 'Объекты'"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","22","Test_Cases","test_object","TestObject","","","Создание корневого объекта, добавление в него двух объектов по модели Directory с уникальными именами. Удаление одного дочернего объекта, проверка. Удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"broken","Wed Aug 02 14:04:17 GMT 2023","Wed Aug 02 14:04:23 GMT 2023","6279","Test_Cases","test_homepage","TestHomepage","","","test_homepage2",""
"broken","Wed Aug 02 14:04:38 GMT 2023","Wed Aug 02 14:04:54 GMT 2023","15421","Test_Cases","test_model","TestModel","","","Создание двух простых моделей с одинаковыми именами, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Wed Aug 02 14:05:26 GMT 2023","Wed Aug 02 14:05:26 GMT 2023","114","Test_Cases","test_platform","TestPlatform","","","test_platform",""
"broken","Wed Aug 02 14:04:54 GMT 2023","Wed Aug 02 14:05:09 GMT 2023","15423","Test_Cases","test_model","TestModel","","","Создание сложной модели, содержащей две дочерние модели по каждой базовой модели, удаление одной из дочерних моделей, проверка и удаление сложной модели","Проверка работоспособности раздела 'Модели'"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","21","Test_Cases","test_object","TestObject","","","Создание корневого объекта, добавление в него объекта по модели Directory, добавление второго объекта по модели Directory с тем же именем, проверка и удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"broken","Wed Aug 02 14:05:25 GMT 2023","Wed Aug 02 14:05:25 GMT 2023","24","Test_Cases","test_object","TestObject","","","Создание двух корневых объектов с одинаковыми именами, проверка и удаление","Проверка работоспособности раздела 'Объекты'"
