"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","4","Test_Cases","test_object","TestObject","","","Создание модели, содержащей подмодели. Создание корневого объекта по модели Directory. Добавление в него объекта по созданной модели. Проверка и удаление объекта. Удаление модели.","Проверка работоспособности раздела 'Объекты'"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","5","Test_Cases","test_object","TestObject","","","Создание корневого объекта, добавление в него объекта по модели Directory, добавление второго объекта по модели Directory с тем же именем, проверка и удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"passed","Thu Aug 03 11:28:43 GMT 2023","Thu Aug 03 11:28:57 GMT 2023","13809","Test_Cases","test_homepage","TestHomepage","","","test_homepage2",""
"broken","Thu Aug 03 11:28:57 GMT 2023","Thu Aug 03 11:28:57 GMT 2023","0","Test_Cases","test_model","TestModel","","","Создание простой модели, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","6","Test_Cases","test_object","TestObject","","","Создание корневого объекта, добавление в него объекта по модели Directory, проверка и удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"broken","Thu Aug 03 11:28:57 GMT 2023","Thu Aug 03 11:28:57 GMT 2023","3","Test_Cases","test_model","TestModel","","","Создание сложной моедели с двумя дочерними моделями с одинаковыми именами, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","4","Test_Cases","test_object","TestObject","","","Создание модели, содержаей подмодели. Создание корневого объекта по модели Directory. Добавление в него объекта по созданой модели. Проверка объекта. Удаление модели с удалением объекта. Проверка факта удаления объекта. Удаление корневого объекта.","Проверка работоспособности раздела 'Объекты'"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","3","Test_Cases","test_object","TestObject","","","Создание корневого объекта, добавление в него двух объектов по модели Directory с уникальными именами. Удаление одного дочернего объекта, проверка. Удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"broken","Thu Aug 03 11:28:57 GMT 2023","Thu Aug 03 11:28:57 GMT 2023","4","Test_Cases","test_model","TestModel","","","Создание сложной модели, содержащей две дочерние модели по каждой базовой модели, удаление одной из дочерних моделей, проверка и удаление сложной модели","Проверка работоспособности раздела 'Модели'"
"broken","Thu Aug 03 11:28:57 GMT 2023","Thu Aug 03 11:28:57 GMT 2023","4","Test_Cases","test_model","TestModel","","","Создание двух простых моделей с одинаковыми именами, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Thu Aug 03 11:28:57 GMT 2023","Thu Aug 03 11:28:57 GMT 2023","3","Test_Cases","test_model","TestModel","","","Создание простой модели, добавление в нее компонентов, проверка и удаление","Проверка работоспособности раздела 'Модели'"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","4","Test_Cases","test_object","TestObject","","","Создание двух корневых объектов с одинаковыми именами, проверка и удаление","Проверка работоспособности раздела 'Объекты'"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","0","Test_Cases","test_object","TestObject","","","Создание и удаление корневого объекта","Проверка работоспособности раздела 'Объекты'"
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","5","Test_Cases","test_platform","TestPlatform","","","test_platform",""
"broken","Thu Aug 03 11:28:58 GMT 2023","Thu Aug 03 11:28:58 GMT 2023","5","Test_Cases","test_object","TestObject","","","Создание модели, содержащей подмодели. Создание корневого объекта по модели Directory. Добавление в него объекта по созданной модели. Проверка объекта. Удаление модели с отвязкой объекта. Проверка факта сохранения объекта и изменения типа модели на Directory. Удаление корневого объекта.","Проверка работоспособности раздела 'Объекты'"
"passed","Thu Aug 03 11:28:43 GMT 2023","Thu Aug 03 11:28:43 GMT 2023","47","Test_Cases","test_homepage","TestHomepage","","","test_homepage","Проверка работоспособности главной страницы"
